OBJECTID,CB_Link_ID,Boro,the_geom,Community,Latitude,Longitude,Constructi,Link_Insta,Smallest_P,Street_Add,Orientatio,Boro_ID,Construc_1,Link_Site
191,LINK-000898,Manhattan,POINT (-73.94534656638044 40.790853725594125),111,40.790862,-73.945348,Not Ready for CX,A - Link Live,120225,1896 3 AVENUE,111 E,NY-MN,05/19/2016 12:00:00 AM +0000,mn-11-120225
192,LINK-000899,Manhattan,POINT (-73.94489656598405 40.791473725710794),111,40.791482,-73.944898,Not Ready for CX,A - Link Live,120224,1918 3 AVENUE,97 E,NY-MN,02/18/2016 12:00:00 AM +0000,mn-11-120224
193,LINK-000900,Manhattan,POINT (-73.94421956742771 40.79126672616889),111,40.791275,-73.944221,Not Ready for CX,A - Link Live,132877,1915 3 AVENUE,39 NE,NY-MN,03/01/2016 12:00:00 AM +0000,mn-11-132877
194,LINK-000901,Manhattan,POINT (-73.94422956610468 40.79238572625508),111,40.792394,-73.944231,Not Ready for CX,A - Link Live,143074,1950 3 AVENUE,104 E,NY-MN,03/01/2016 12:00:00 AM +0000,mn-11-143074
195,LINK-000902,Manhattan,POINT (-73.9439755672259 40.792283725855754),111,40.792292,-73.943977,Not Ready for CX,A - Link Live,120222,1945 3 AVENUE,307 NW,NY-MN,05/19/2016 12:00:00 AM +0000,mn-11-120222
196,LINK-000903,Manhattan,POINT (-73.94378256703337 40.79300072555922),111,40.793009,-73.943784,Not Ready for CX,A - Link Live,120221,1966 3 AVENUE,103 E,NY-MN,02/18/2016 12:00:00 AM +0000,mn-11-120221
197,LINK-000904,Manhattan,POINT (-73.94285956716065 40.79426572487923),111,40.794274,-73.942861,Not Ready for CX,A - Link Live,120232,2004 3 AVENUE,133 SE,NY-MN,03/03/2016 12:00:00 AM +0000,mn-11-120232
198,LINK-000905,Manhattan,POINT (-73.9423965669939 40.794903724786664),111,40.794912,-73.942398,Not Ready for CX,A - Link Live,107915,2022 3 AVENUE,97 E,NY-MN,05/23/2016 12:00:00 AM +0000,mn-11-107915
199,LINK-000906,Manhattan,POINT (-73.94033556718965 40.79729472475145),111,40.797303,-73.940337,Not Ready for CX,A - Link Live,120229,2105 3 AVENUE,289 W,NY-MN,02/17/2016 12:00:00 AM +0000,mn-11-120229
200,LINK-000907,Manhattan,POINT (-73.94025656718597 40.797827724737466),111,40.797836,-73.940258,Not Ready for CX,A - Link Live,107218,2120 3 AVENUE,125 SE,NY-MN,03/03/2016 12:00:00 AM +0000,mn-11-107218
