Date_Received,Appl_Type,CBLinkID,kiosktype,Latitude,Longitude,Borough,ZoningNumb,CB,Building_Number,Street_Name,Cross_Street 1,Cross_Street 2,LinkInHist,Landmark_Name,PavementTy,LinkInBID,BID_Name,permit_app,company_na,LinkInSADName,LinkInSAD,Location 1
08/22/2016,new site,LINK-018124,advertising unit,40.678407999999997,-73.916371999999996,Brooklyn,C2-4/R6B,3,293,RALPH AVENUE,SUMPTER STREET,MAC DOUGAL STREET,NONE,,MAC DOUGAL STREET,NO,,81533,CityBridge LLC,,,"(40.678407999999997, -73.916371999999996)"
08/22/2016,new site,LINK-018127,advertising unit,40.678480999999998,-73.915729999999996,Brooklyn,C2-4/R7D,3,2022,FULTON STREET,HULL STREET,SARATOGA AVENUE,NONE,,SARATOGA AVENUE,NO,,81536,CityBridge LLC,,,"(40.678480999999998, -73.915729999999996)"
08/22/2016,new site,LINK-018128,advertising unit,40.678283,-73.912184999999994,Brooklyn,C2-4/R7D,3,224,SARATOGA AVENUE,FULTON STREET,HERKIMER STREET,NONE,,HERKIMER STREET,NO,,81537,CityBridge LLC,,,"(40.678283, -73.912184999999994)"
08/22/2016,new site,LINK-018129,advertising unit,40.678319000000002,-73.910252,Brooklyn,C2-3/R6,16,2058,FULTON STREET,SARATOGA AVENUE,THOMAS S BOYLAND STREET,NONE,,THOMAS S BOYLAND STREET,NO,,81538,CityBridge LLC,,,"(40.678319000000002, -73.910252)"
08/22/2016,new site,LINK-018133,advertising unit,40.727094999999998,-73.854788999999997,Brooklyn,C2-3\R6,16,2126,FULTON STREET,THOMAS S BOYLAND STREET ,SOMERS STREET,NONE,,SOMERS STREET,NO,,81539,CityBridge LLC,,,"(40.727094999999998, -73.854788999999997)"
08/22/2016,new site,LINK-018134,advertising unit,40.733890000000002,-73.872709,Brooklyn,C5-3,16,2069,FULTON STREET,EAST   27 STREET,EAST   28 STREET,NONE,,EAST   28 STREET,NO,,81540,CityBridge LLC,,,"(40.733890000000002, -73.872709)"
08/23/2016,new site,LINK-018042,advertising unit,40.734079000000001,-73.873357999999996,Queens,C1-2/R7-1,6,,QUEENS BOULEVARD,66 ROAD,99 STREET,NONE,,99 STREET,NO,,81544,CityBridge LLC,,,"(40.734079000000001, -73.873357999999996)"
08/23/2016,new site,LINK-018138,advertising unit,40.734161999999998,-73.873658000000006,Queens,C1-2/R6,4,,QUEENS BOULEVARD,57 AVENUE,90 STREET,NONE,,90 STREET,NO,,81545,CityBridge LLC,,,"(40.734161999999998, -73.873658000000006)"
08/23/2016,new site,LINK-018139,advertising unit,40.735388,-73.876255,Queens,C1-2/R6,4,,QUEENS BOULEVARD,57 AVENUE,90 STREET,NONE,,90 STREET,NO,,81546,CityBridge LLC,,,"(40.735388, -73.876255)"
08/23/2016,new site,LINK-018140,advertising unit,40.736272999999997,-73.877364,Queens,C1-2/R6,4,,QUEENS BOULEVARD,57 AVENUE,90 STREET,NONE,,90 STREET,NO,,81547,CityBridge LLC,,,"(40.736272999999997, -73.877364)"
